sentence,usecase_focus,process_focus,structure_focus
"The Package is to compressed etc instructions and code , data types specified and other related information specified in Appendix A within a combination of status , , resource tools for submission to XML Registry ; Submit prescribed metadata related to information resource type , information association ; sites specified , there is a need , for environment example to be able to reset session time , communications degraded a object names and include address ( protocol / host / port ) and instance name ; In - out values if time - out values shall be user definable and be able to be reset prior to initialization session qualified the minimum the data management services are being accessed by users affected by the communications degradation .",False,False,False
"At a , fully are descriptors , such as with deployed units , the workload and database sizes may be more predetermined ( environment given ) ( frequently and to a greater extent than for processing associated with deployed units ; In a changing dynamic of a precise have the ability to redefine or reset names of connect descriptors to database server instances .",False,False,False
Connect shall more XS . mission ) and require access to fewer data management administrative capabilities than needed in a fixed environment,False,False,False
The a user session storage and memory areas .,False,False,False
"In addition , maintenance also shall pertain to shutdown , open not restructuring - and privileges Maintenance Mode : This mode includes modification and/or addition of application data segments , user permission , , ; mounted online managing various types of data , database architectures and platforms that includes hardware and software at the support and shall management / off - line implementations , modifications , upgrade , or other related actions .",False,False,False
The data services change services of capabilities of the network management or DBMS ; End User Mode : Portion of XS services shall by be identified communications .,False,False,False
"The goal is to provide the option of dynamically changing session time values based on current performance XS used various uses of the data management services will entail unique requirements that shall be fulfilled within the capability these by of . classes of users : data consumers , data and database managers , network information infrastructure resource managers",False,False,False
Some Application internally Interface to future notifications about the tags . subscribe,False,False,False
"If after reviewing the tags in the Registry , and , Programming ; Developer 's Role .",False,False,False
"Developers are urged to review the baseline tags , adopt them where , you can not your proposed tag to a Community of Interest ( COI ) and provide amplifying information for all submit both may , reuse an existing specification ( a.k.a .",False,False,False
Document Type Definition ( DTD ) ) or existing tags you or definition the Community .,False,False,False
"The Registry allows a user to browse , search , and retrieve data that satisfy the your among and Registry .",False,False,False
"To ensure interoperability , this registry provides a baseline set of tags developed through coordination approval to requirements",False,False,False
The user may specify whether to search for the term within the name of the information resource or,False,False,False
The . . the Registry has a substring search capability so that the user may easily find information resources that meet criteria XML understand semantics Community of Interest 's POC 's Role The . The information in the following section is,False,False,False
"( ; strong.8 the "" market forces "" model can also guide COE Data Engineering in identifying the weak candidates from current as of 17 responsibilities will include the transitioning of information resources from one status to another .",False,False,False
Table 1 lists POC,False,False,False
A,False,False,False
"The . May , 1999 .",False,False,False
Please consult the Registry for the most authoritative list of information resources types ) . representations of Contact ( POC ) for a COI to manage the tags within that COI .,False,False,False
The COE of Chief Point a for its proper use ; COE Chief Engineer 's Role .,False,False,False
The COE Chief Engineer will approve single the Engineer reserve semantics will be analyzed to identify opportunities to consolidate tags towards a single or a minimal number and will,False,False,False
"Tags Role ultimate authority to mediate any unresolved disputes within all COIs ; The COE Data Engineering Team 's . ; validity lack attributes ; SRI : A Standing Request spatial For ( SRI ) is a capability in Information by defined are ) , extent , topology and geometry .",False,False,False
Supports queries of spatial data where the selection criteria which CASS monitors for are satisfied .,False,False,False
"An SRI may be one of three types : timer - based , data conditions location(s the program the occurrence of conditions established by an application program , and notifies the calling or establishing application when , scale , ;",False,False,False
"Replication Scheme : Information that precisely identifies DBs , or partitions of DBs , to be ) copied management distributed does not yet define interoperability between server databases ( i.e. it is not yet a standard for database - and/or , that organizes and maintains spatial data ( i.e. data with graphical attributes ) in terms of type system distributed information : replication schedules , and master / remote sites that are to receive the copies ; Spatial DBMS",False,False,False
"Geographic based , or text editor .",False,False,False
"Although XML is a relatively new technology , many developers are already using XML a in using by",False,False,False
Metadata and Related Information An XML tag may be described as any object and is easily created anyone . operational systems,False,False,False
"So far , the burgeoning sets of XML tags have created redundancy and irrelevancy , and they . COE systems in and have already created tags and specifications , many of which may be inconsistent with tags used other the Package Resource device that causes information to flow among objects or changes the system state .",False,False,False
"Technically , a or process , , message - based ; Subject : An active entity , generally in the form of a person process Submittal / pair log file or a circular file .",False,False,False
"The metadata and procedures are described for the current Information linear domain a may ; Transaction Journalling : Individual messages or database transactions are stored in a journal file , which be valid types of as interfaces to COE components .",False,False,False
Detailed defined information as specified in paragraph 3.4 of the ( are SRS XS XS architecture .,False,False,False
At this time such detailed information is unavailable .,False,False,False
The Internal Interfaces for the Data Item Description DI time such detailed information is unavailable .,False,False,False
The COE components identified to - date are listed below this COE,False,False,False
At architecture - IPSC-81433 ) defining these interfaces will be specified during the design phase of the COE XS . the of phase concept .,False,False,False
"Example : If the registered tag is ORG_ID , the description that includes references The that External expressing tag easily find the term they might consider "" natural "" in the definition and find the desirable for . Interfaces the the Data Item Description DI - IPSC-81433 ) defining these interfaces will be specified during the design of for 3.3 in XS SRS are defined as interfaces to non - COE components .",False,False,False
Detailed information ( as specified paragraph,False,False,False
It incorporates other paragraph 3.3 of the Data Item Description DI - IPSC-81433 ) defining these interfaces will be specified in during specified ( Toolkit .,False,False,False
The Interfaces to Commercial Products for the XS SRS are identified below .,False,False,False
Detailed information as ’s the phase identified for the COE are the following Relational Database engines : Sybase ; Oracle ; Informix . environments design or commercial of the COE XS architecture .,False,False,False
At this time such detailed information is unavailable .,False,False,False
The three products would Developer to Services .,False,False,False
It incorporates other interfaces to : Distributed Computing Services ; Data Interchange Services .,False,False,False
It Network incorporates ; : interfaces to : Network Administration ; System Administration ; Security Administration .,False,False,False
It incorporates other interfaces to Communications : other to Correlation ; MCG & I ; Alerts ; On - line Help .,False,False,False
It incorporates other interfaces ; interfaces Processing ; : Executive Manager ; Multi - Media Support .,False,False,False
It incorporates other interfaces to : Office Automation Message,False,False,False
RDA developers that submission package to e - mail message attach to _ _ _ _ _ _ _ : and,False,False,False
"Zip . valid values , and add to submission package ; Include amplifying info associated with specific Tag(s ) _ _ _ _ information resources for the Registry",False,False,False
"If the term is well recognized outside its container term , designate new provide creating conventions _ _ _ _ _ _ _ _ _",False,False,False
Establishing a new Information Resource .,False,False,False
"Follow these for , Tags among submit and use information resources within the Registry constitutes guidance in the generation and use of XML may as Developers . information resources .",False,False,False
"The status levels are developmental , candidate , approved , rejected , and retired",False,False,False
For it an source if any ) ; Fill out one XML submission document to package multiple Tags ; Specify relationships ( authoritative submit modifications for approved XML data and metadata components .,False,False,False
"Review Tags in Registry and decide what additions / to as an element wish to limit the proliferation of tags , so we strongly urge folks to use XML_Attributes sparingly",False,False,False
"We . . separate ctry , then the additional baggage ( other attributes ) must be carried , or submitted as elements element",False,False,False
"Initially the of fields , including definition .",False,False,False
"Therefore , we urge submitters to include enough expressive terms so number , a search Registry will not have keyword , thesaurus , or ontology support but it will have a substring for COE the attributes attributes ) for the entity CTRY .",False,False,False
"In the relational world , they are columns within the - table ER characteristics .",False,False,False
"Example : CTRY_CD , CTRY_NM , CTRY_ABBRD_NM , CTRY_OFF_NM , CTRY_SCP_NT_TX , and CTRY_PSTL_NM are all ( of ctry attributes a submitter would identify them as attributes rather than elements .",False,False,False
"But if they were identified as that , expected would of the entity ctry in er - modeling , and member attributes in object modeling .",False,False,False
"It be . possible be procedures , or principles within an organization , . rules can be divided in to four",False,False,False
Business policies of description human intervention .,False,False,False
"It will include controls qualifying the processing involved ; Business Rule : A narrative categories : definitions , ( relationships ) between entities or associations between an entity and attributes ; Constraints are conditions about links / either Facts facts , constraints , and derivations ; Definitions are business rules that define entities and attributes ; are process manual a ; TBD To Be Determined ; WWMCCS World - Wide Military Command and Control System .",False,False,False
Automatically Software : W S Specification ; SSDD Support Software Design Document ; STACCS Standard Theater Army Command And Control System ; / the Indicates initiated .,False,False,False
"The information / parameters may be data dependent , or application dependent , or dependent on processes processing other to during execution of other processes , but dependent on information and/or parameters to be generated or supplied these Requirements data must access to objects based on the identity restricting of or groups to which they belong . subjects of means A ) by the proponent maintainer of the data items involved ; Discretionary Access Controls ( DAC ):",False,False,False
"The controls are discretionary subject ; Dynamically Generated Processing : Indicates processing initiated during execution of other processes , but dependent other rollback any on in the sense that a subject with a certain access permission is capable of passing that permission to ( discarded or rules that materialize a new piece of information ( often attribute values ) from other pieces of business information are ; always be TRUE .",False,False,False
They are the integrity rules that protect the data in the eventual database Derivations that . example from the current date ; Commit / Rollback : An individual transaction is processed ( commit ) date,False,False,False
"For birth or , a mathematical derivation might specify that you can obtain a person 's age by subtracting his her Software SRS ; Distributing Computing Environment ; DDL Data Definition DCE Language DDS Data Distribution System ; DES Data ; ; Group Working DBIF Database Interface ; DBMS Database Management System ; DBs Databases ; DATATWG Data Access Services Technical Encryption Standard ; DID Department of Defense ; DTG Date - Time - Group ; FIPS PUB Federal Information Processing Standards DoD ; ; Manipulation Data Item Description ; DII Defense Information Infrastructure ; DISA Defense Information Systems Agency ; DML Data Language Service Access Data Software Requirements Specification Document ; ATCCS Army Tactical Command and Control Systems ; AWIS Army WWMCCS Information AWIS System ASRD Format ; ASCII American Standard Code Information Interchange ; ASCII RTF American Standard Code Information Interchange Rich Text ; Publication ; Common - The - Shelf ; X - DA Data Access ; DAC Discretionary Access Control ; XS Off CASS Commercial ; ACCS Support Software ; CLI Client Library Interface ; CM Configuration Manager ; COE Common Operating Environment",False,False,False
"COTS ; FMWG File Portable Operating System Interface for Computing Environments ; RAID Redundant Array of Inexpensive Disks ; RDA Remote POSIX Database ; Project ; MIL - STD Military Standard ; MSB Most Significant Bit ; OS Operating System ; PM Manager Imagery Access RDBMS Group ; SMM Systems Management Manual ; SQL Structured Query Language ; SRI Standing Request for Information Working ; Technical Security Relational Database Management System ; RISC Reduced Instruction Set Computer ; RTF Rich Text Format ; SECTWG Services upon and , User Interface ; HP Hewlett - Packard ; IAW in accordance with ; ID Identification ; I Graphical / GUI Shelf Management Working Group ; GCCS Global Command and Control Systems ; GOTS Government Off - The - ; Geodesy F ; Planning and Execution System ; MAC Mandatory Access Control ; Mbs Megabytes ; MCG&I Mapping , Charting coordinated Interface Joint ; IF Intell Fusion ; I / O Input / Output ; JMCIS Joint Maritime Command Information System JOBES information Operation parameters parity over RAID 3 or RAID 4 which implementations , and RAID 6 ( in which ) in ( 5 disk .",False,False,False
RAID 4 intended to overcome performance penalties of RAID 3 for small transfers .,False,False,False
"RAID two parity disks in the data is stored as are check sums and other information about the contents of each disk , parity implementation RAID addition to data disks are used in an attempt to further improve performance ) .",False,False,False
"In a 5 single a has ) , RAID 1 ( known as disk shadowing ) , RAID 3 ( in which data striping is disk known cost .",False,False,False
"There are several types / levels of RAID implementations , including : RAID 0 ( as in distributed small RAID 4 ( in which data is distributed in large chunks across all data disks and also , in fails any increments across all data disks and adds a parity value to a separate disk for recovery if disk the array . read and update data in remote databases via well defined standards .",False,False,False
RDA defines a set of to client able application interoperability between applications ( clients ) and databases ( servers ) of different manufacturers so that an is allow and standards two phase commit TP services in the case where updates to multiple remote databases need and/or to ) server processing ( and a mapping of SQL commands to these services .,False,False,False
RDA also defines an interface to ISO transaction lower to RDA data .,False,False,False
Storage system vendors may provide additional enhancements to RAID level implementations to improve performance and lost reliability the to,False,False,False
"If one disk is lost , the others can use the check sums and other stored information recreate is ; Data by an application to a ( remote ) DBMSs over an OSI network .",False,False,False
The goal of access Remote support ) Access ( RDA ): is an ( 9579 ) application layer interoperability standard ( protocol and formats to a ISO striping an object based on the clearance level to of subject ( user ) and the sensitivity the access Imediates ): view does not need to know where the data originates from ; Mandatory Access Control ( MAC label of the object maintenance of a database on a transaction basis for the purpose of rapid error or failure recovery and the Replication Databases .,False,False,False
"( These controls are always enforced above any discretionary control implemented by users ) ; Mirrored : of user the application dependent , or dependent on a manual process / human intervention .",False,False,False
"It will include controls or qualifying , data to be at generated or supplied to these other processes .",False,False,False
The information / parameters may be dependent as the involved .,False,False,False
"For example , a view that joins table data from several databases provides location transparency because system processing database of ; Location Transparency : occurs when the physical location of data is transparent to the applications and the supported users the the data at each site .",False,False,False
It refers to proponency at the source and record level ; to Redundant respect authority Scheme : Describes the sites at which databases are replicated and also who owns and has update with Proponent Array Inexpensive reason for using RAID storage is its reliability .,False,False,False
RAID has the same advantages by as and main of,False,False,False
"The CPU Disks ( RAID ): A RAID shadowing appears as one very large , reliable disk to the . ; system network to an object potentially implies access to the information it contains .",False,False,False
Examples of objects are records,False,False,False
"Access , . receives RDBMS nodes resident own system utilities and operating system ; Object : A passive entity that contains information blocks or pages words , fields , processors , video displays , keyboards , clocks , , printers , and , bytes COTS , segments files , , directories directory trees , , programs bits as and , as , well user could the dialog open is box choose : are . selection",False,False,False
Menu . game a previous a,False,False,False
Open .,False,False,False
None .,False,False,False
A saved game that display statistics player,False,False,False
The . data file the to redraw is game board,False,False,False
"The . saved previously the of data the all contains file according movement . to player the by used time the , block of number solve the player a of name the of composed is . line",False,False,False
"Each ,",False,False,False
Window the . selection menu or ) 3.2.2.1 chapter see ( game the of headache,False,False,False
End game the of file statistic the from read are statistcs,False,False,False
"This . set and the the movements previous the of number the , positions previous 10000 last their , blocks the of positions current the : game the time passed by the : the lines open is box dialog",False,False,False
A . selection,False,False,False
Menu the . current the,False,False,False
Save .,False,False,False
"None . headache the solve to user game to save to the , saved never was game the",False,False,False
If . selection,False,False,False
Menu . game current the,False,False,False
"Save . data file the of statistics player processing is identiqual to used was that file previous the into saved are data internal to following , not",False,False,False
"If . "" ... as Save "" action the the 10",False,False,False
"The listbox 3.2.2.2 chapter see , player the by completed is Statistics with Window Finish",False,False,False
The . statistics player 10 of composed is statistics game .,False,False,False
"The statistics of statistic the in recorded is ) headache the solve to passed . time , number movement block the , name its ( player the the file",False,False,False
None recorded . start the since time ; start the since movements block of number : game the during recorded are statistics following user,False,False,False
The,False,False,False
A block movement . is time recorded previous the and movement block the of time . of,False,False,False
The . 1 of incremented in movement block of number,False,False,False
"The difference of . 10 there , updated correctly was file the",False,False,False
If . erased are file statistic the in stored data,False,False,False
The . selection,False,False,False
Menu . statistics is no ouput . a of composed is Window Statistics Player,False,False,False
"The . displayed is the message an , full disk or pemissions wrong like , not",False,False,False
If error,False,False,False
If all could the,False,False,False
"If . erased is movements block of number greatest with file the of statistics player the , recorded already are statistics player file was correctly updated user",False,False,False
"The . displayed is message error an , full disk erase or wrong like , not",False,False,False
"If . ouput no is there , pemissions could . a "" Redo "" action > "" Redo "" ; 3.2.1.5 chapter see , "" Undo "" action > "" Undo "" : performed , see chapter 3.2.1.6 order this",False,False,False
"In . "" Erase "" and "" Display "" is",False,False,False
Contains continuation the determines action the of,False,False,False
Requirements . disappears,False,False,False
Menu . . . question,False,False,False
Action . continuation the determines action the of,False,False,False
Requirements . disappears,False,False,False
"Menu . 3.2.4.4 chapter see , "" Exit "" action > "" Exit",False,False,False
"Contains "" Undo "" . selection",False,False,False
Menu . unvailable is action associated the if unvailable in is menu,False,False,False
The . order this,False,False,False
"In . "" Redo "" and selection """,False,False,False
Menu,False,False,False
"Action . disappears Menu "" jp_brossat@yahoo.fr Brossat JeanPhilippe by 1.0 Qheadache "" text following the of composed is "" Windows About """,False,False,False
The .,False,False,False
Requirements of the action . . OS Windows the to portable be must software,False,False,False
The displayed . per user one only be can,False,False,False
"There . continuation the determines machine selection is Window erase > "" Erase "" ; 3.2.3.4 chapter see , window statistic the displays > "" Display "" : performed is question in the statistics , see About",False,False,False
""" . selection",False,False,False
"Menu . "" About """,False,False,False
"Contains . "" continuation determines action the of",False,False,False
Requirements . disappears,False,False,False
"Menu . 3.2.3.3 chapter the ; 3.2.4.3 chapter player the to asks that displayed is box dialog a , saved not is game the",False,False,False
If . selection Menu game the,False,False,False
"Stop if he wants to , selected is "" Yes """,False,False,False
"If . "" No "" . and Yes "" : possible are choices",False,False,False
"Two . game the save "" the",False,False,False
"None headache file the into saved are data internal following the ,",False,False,False
"Next . game current the of data the all contain will that file : the current positions the solve to user the by passed time the and movements . previous of number the , positions previous their , blocks the of the action "" Save Game Save "" ; 3.2.4.1 chapter see , "" game Open "" action > "" ... game Open "" : performed is question ... "" > action see , "" as game Save "" action > "" ... in As Save "" ; 3.2.4.2 chapter see , "" Game Save "" Game",False,False,False
Action . selection,False,False,False
Contains .,False,False,False
"None . disappeared window main the , selected is "" "" """,False,False,False
"If . disappeared window main the and processed is "" No choose Open ...",False,False,False
Menu . order this,False,False,False
"In . "" Exit "" and "" game ... Game Save "" , "" ... Game Save "" , "" As 3.2.3.4 the see select to onscreen cursor a move to ability the namely , keyboard and buttons mouse to functions similar provide they provided , allowable are devices input and pointing a and the ability required not is",False,False,False
Sound . resolution screen 800x600 an provide must system operating and hardware,False,False,False
"The . sounds and graphics , menus uses product",False,False,False
The . names type to,False,False,False
Other . input for . user a of name the with associated play a of ) counts of number and time ( score the record must product,False,False,False
The . asction ' user the,False,False,False
The to product display keyboard a and mouse a requires generally product,False,False,False
The . applicable,False,False,False
Not . applicable,False,False,False
Not . necessary is qualification,False,False,False
No . scores ' player the all with window a must play the game,False,False,False
The . unit mesure the be x,False,False,False
Let . blocks some move could user the where zone rectangular a is board,False,False,False
The . applicable,False,False,False
Not . applicable,False,False,False
Not . height 3.2.5 of board a by separated are blocks,False,False,False
"The . pixels 100 than greater and pixels 50 than less be n't ca x : 4x is width its , 5x is game the of chapter , age at starting player level beginning a with , computer a operate to how knows who game simple a play to wants who anyone of consist users",False,False,False
"The . 8 see , through bar menu a ; 3.2.1.1 chapter see , board A : parts following the provide shall window main",False,False,False
The . adult an be could who player level advanced an up marge number display of the product .,False,False,False
General description of the project is discussed in section requirements 2 this document .,False,False,False
"Section 2 gives the functional requirements , data requirements and of data and functional applicable .",False,False,False
"The remaining sections of this document provide a general description , including characteristics of the users of this project , the product ' hsardware , and the constraints and assumptions made and gives detailed description of functional requirements .",False,False,False
The product runs as a standalone application .,False,False,False
"Its user interface uses menus , graphics and sounds .",False,False,False
The product chapter requirements,False,False,False
Not interface the while designing the game .,False,False,False
It also gives the user viewpoint of product use .,False,False,False
Section 3 gives the specific requirements of the product .,False,False,False
Section 3.0 also discusses external . applicable,False,False,False
Not,False,False,False
Not . applicable,False,False,False
Not . applicable,False,False,False
Not . supports Qt that systems operating the all with run must,False,False,False
It . library graphical Qt the uses product,False,False,False
The . 600 applicable * . user and count must product,False,False,False
The . play to uses user the that time the display and count must product,False,False,False
The . actions thousand last its redo and undo must,False,False,False
"The the 800 at intended audience is the analyst , programmer and tester of Qheadache .",False,False,False
The product is a computerized game that displays an interface used to solve a specific headache .,False,False,False
The least . named of display graphical a requires,False,False,False
It . user the with interface to mouse a and keyboard a of use the requires,False,False,False
