,Sentence,Result
10,"The Qualification Methods , I ) . or some part of the computer S / W configuration item , etc . )","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
11,and that (,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
12,COE F I,"It seems your input is unclear or incomplete. Could you please provide a complete sentence or clarify your input? This will help me determine whether it is useful for a **Class Diagram**, **Use Case Diagram**, or **Activity Diagram**."
13,TEST .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
14,A qualification method that is carried out by operation of the item / component / / . ) O COE guidelines .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
15,The following table depicts the mapping of the requirements in Section 3 to their DII corresponding with in responsible for distribution of the XS product to system developers .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
16,The XS software shall be delivered accordance relies precedence criticality for Essential ( E ) ; 2 for Desirable ( D ) ; 3 for Optional ( 1 and : the code and to other related requirements within the XS SRS .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
17,"The precedence and criticality codes are following is on collection the data ; INSPECTION A qualification method from that carried out by visual examination , physical is made extrapolations or of data obtained from other qualification methods .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
18,"Examples of the processing of accumulated data are interpretations manipulation , or measurement GCCS - AAGCCS Army Global Command and Control System- Army ; ANSI American National Standards Institute ; ; compilation Systems and to verify that the requirements have been satisfied .","[Not Useful Class, Useful Use Case, Useful Activity]"
19,Provided under separate document .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
20,"ACCS Army Command Control the is data / I / F ( or some part of the computer S / W configuration item , component etc / the and subsequent examination of data ; DEMONSTRATIONS A qualification method that is carried out by operation of item the . , qualification method that is carried out by the processing of accumulated data .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
21,An example of accumulated A ) ANALYSIS equipment and that relies on observable functional operation not requiring the use of elaborate instrumentation or special test ; ) CM ( to materialize different query results into different document tree ; Render ; Interrogate document ; Transmit structure,"[Useful Class, Useful Use Case, Useful Activity]"
22,"Disassemble . data ) and charset values ; Check conformance ; Well - formed ; Validate ; Extract views of sufficient metadata to construct Parsers ( dom , sax ) ;","[Not Useful Class, Useful Use Case, Useful Activity]"
23,"Check conformance ; Well - formed ; Validate ; Create ; language documents & alternate , semantically - valid views ( e.g. , XSL ) ; Express version .","[Not Useful Class, Useful Use Case, Not Useful Activity]"
24,Consume xml schema natural ( language other design tools & environments ; Record semantic structure in JTA - compliant formalism ; Generate standard / views w ; & associated semantic structures ( extracted from Registry ) ; create new tags & associated semantic structures interchange validation ; metadata schema ; Develop scheme to permit dynamic cross - referencing and indexing of XML objects ; Generate a Version ) by objects .,"[Useful Class, Useful Use Case, Not Useful Activity]"
25,Generate xml & schema documents ; Generate a document that includes ( by ref or value constraints shall enable requirements shall be determined by the developers of the system in which the XS module is embedded,"[Not Useful Class, Useful Use Case, Useful Activity]"
26,Personnel Not .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
27,Not .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
28,The Registry software shall be portable and required to execute on COE - compliant platforms . applicable products applicable,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
29,"Training is responsible for software maintenance , software support , and software updates .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
30,The DISA Configuration Manager developer . XS . requirements shall be determined by the developers of the system in which the XS module is embedded,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
31,"The existing RDBMS and ( e.g. , XSL ) ; Disassemble hierarchical view to relational representation ; Render .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
32,"The Registry document shall XML from a meaningful sharing of XML - based schemas and related information ; Extract semantically - valid views an COTS provide APIs ( transparent to the operator ) with the existing data elements of the DBIF , DAC , interface standard shall","[Useful Class, Useful Use Case, Not Useful Activity]"
33,The as specified in Appendix B.,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
34,The XS function shall provide standard APIs as specified in Appendix C. XS API Registry submitted provides 3,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
35,Section . specification this to a applicable that documents the lists 2,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
36,Section . are list of functional traceability verification and requirements the outlines 5,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
37,Section . requirements qualification the identifies 4,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
38,Section . capabilities COE DII the for database ) remote and local ( distributed to access for functions management data provide also services,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
39,These management matrix systems one components XS the for required capabilities software the outlines document,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
40,This . interoperablity for solutions the of as .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
41,"Section 6 and Command Tactical Army 001A - 302 - A1 - ATCCS ; 1995 March 22 , ATCCS Control for System ATCCS ( Specification Requirements Software AWIS A142 CDRL ; Specification Segment / Systems ) CASS ( Software Support Common . Specification 6 , ) DII ( Infrastructure Information","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
42,"Defense . component XS the with associated notes applicable the contains Shared System Data ( - 100 - A1 - ACCS 1996 July 11 , 1.0 Version DOCUMENT CAPSTONE , ) SHADE Environment ASRD models physical to compliance level requirements described in the adhere I&RTS In the fixed ( static ) mode ; shall sponsors","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
43,"COE verification and , performance , functional the establishes ) SRS ( Specification Requirements shall be segmented . of operation ( base personnel to adjust for varying workloads and sizes of associated databases .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
44,"These workloads and databases are site requirements - by or data processing megacenter ) , the data management services shall have the capability of being tuned on for the XML XML using applications support and mission for services infrastructure provide Services","[Useful Class, Useful Use Case, Not Useful Activity]"
45,XML . documents XML of Consumption technology and . services on dependencies avoiding of means a applications provide and access data of implementations unique - vendor isolate,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
46,"These access Generation schemas Environment Operating Common ) DII ( Infrastructure Information Defense the of area functional ) XS ( Services ( , COE . XML of Design , ) structures and tags ( terms of Registration includes area functional XS","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
47,"The ) ) , July 9070 IEC / ISO ; – Standard Formal Military - MIL ; 1993 , June 2 STD-6040 Public Identifier . , Macintosh the for Developers Application , Tools Power Platform - Cross "" , Steve ,","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
48,"Petrucci , 2 - 127 Documentation and Development Software - Standard Military STD-498 -","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
49,"MIL . 1994 , July 24 , 3 , Windows ; , Publication Standards Processing Information Federal - SQL Language Database 2 - 127 PUB FIPS ; 1994 Dec. DOD , and Windows the with planning crisis as such operations wartime scale full to readiness of degrees varying to react use must of data Software Services","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
50,"XML . Compliance COE ; services management data , capabilities transfer , sources and types heterogeneous Version that time & O'Reilly , "" Guide 's Programmer Lewine,""POSIX 1993.Donald , Publishing Electronic House Random , "" NT Associates operations , 1991 - real the is This : Mode Environmental "" XML in Namespaces "" Draft Working","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
51,"W3C . Inc. , ) COE System Control and Command Army Theater Standard SDA001A - AAN ; 93 Oct. 1 , Built As ( / STACCS System and Command Army Theater Standard ; 93 Oct. 1 , Built As / 1.1 Version , Specification ) Control 1.1 Document AWIS ; 1994 Oct. 31 , ) SMM ( Manual Management Systems AWIS ML03 CDRL ; 1992 Support Version Software Document Design System ) STACCS ( System Control and Command Army Theater Standard D18664A ; 1994 December , Design expected System STACCS , 1.0 Version , ) GCCS ( System Control and Command Global for Specifications Interface User ; October Nov/94 1994 Draft ( Environment Operating","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
52,"Common ) GCCS ( System Control and Command Global the for Document Design Architectural ; ( 28 DISA Integration ) GCCS ( System Control and Command Global ; Draft , Manual Programmers Software System ) Standard , , 1.0 , Baseline Environment Operating","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
53,"Common ) GCCS ( System Control and Command Global ; 1994 October , Version XML to more a registry , the producer must be to able receive XML registry forms , submit metadata to metadata contribute","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
54,"To purposes of ensuring maximum semantic understanding of a term as it appears in an XML document . and the related information web containing the following Information Resource artifacts : XML Tag Specification , XML Spec ( i.e. DTD the the from Submittal resource artifacts , and notify ; Produce and display submittal forms as part of the Information Resource Package for Registry XML encountered in a production environment .","[Not Useful Class, Useful Use Case, Useful Activity]"
55,"However , access to the database may be via a training be application would processing Mode .","[Useful Class, Useful Use Case, Not Useful Activity]"
56,"In support of training activities , the data management services shall provide for the same as , access the 3.2 - 1 Producer services A producer is an agent that contributes metadata for inclusion into an figure to in as DBMS rather than from the production mission application .","[Useful Class, Useful Use Case, Not Useful Activity]"
57,"The XS shall deliver inter - related components shown Training DCD . ( i.e. DTD , DCD etc . Spec ) Sample of XML document of the tag , XML , Specification are part of the Information Resource Submittal Package containing the following Information Resource artifacts : XML Tag to be submitted . line interactive process ; Submit metadata by a off - line and interactive batch process ; Parse - forms on by","[Useful Class, Useful Use Case, Useful Activity]"
58,The Package is to be compressed and emailed or sent ftp to an addressee ; Submit metadata an,"[Not Useful Class, Useful Use Case, Useful Activity]"
59,"These . forms or sent ftp to an addressee ; Download Information Resource Submittal Package from the web containing forms emailed , and be ) , Sample of XML document of the tag to be submitted .","[Not Useful Class, Useful Use Case, Useful Activity]"
60,"The Package is to compressed etc instructions and code , data types specified and other related information specified in Appendix A within a combination of status , , resource tools for submission to XML Registry ; Submit prescribed metadata related to information resource type , information association ; sites specified , there is a need , for environment example to be able to reset session time , communications degraded a object names and include address ( protocol / host / port ) and instance name ; In - out values if time - out values shall be user definable and be able to be reset prior to initialization session qualified the minimum the data management services are being accessed by users affected by the communications degradation .","[Useful Class, Useful Use Case, Useful Activity]"
61,"At a , fully are descriptors , such as with deployed units , the workload and database sizes may be more predetermined ( environment given ) ( frequently and to a greater extent than for processing associated with deployed units ; In a changing dynamic of a precise have the ability to redefine or reset names of connect descriptors to database server instances .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
62,Connect shall more XS . mission ) and require access to fewer data management administrative capabilities than needed in a fixed environment,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
63,The a user session storage and memory areas .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
64,"In addition , maintenance also shall pertain to shutdown , open not restructuring - and privileges Maintenance Mode : This mode includes modification and/or addition of application data segments , user permission , , ; mounted online managing various types of data , database architectures and platforms that includes hardware and software at the support and shall management / off - line implementations , modifications , upgrade , or other related actions .","[Useful Class, Useful Use Case, Useful Activity]"
65,The data services change services of capabilities of the network management or DBMS ; End User Mode : Portion of XS services shall by be identified communications .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
66,"The goal is to provide the option of dynamically changing session time values based on current performance XS used various uses of the data management services will entail unique requirements that shall be fulfilled within the capability these by of . classes of users : data consumers , data and database managers , network information infrastructure resource managers","[Useful Class, Useful Use Case, Not Useful Activity]"
67,Some Application internally Interface to future notifications about the tags . subscribe,"[Useful Class, Useful Use Case, Not Useful Activity]"
68,"If after reviewing the tags in the Registry , and , Programming ; Developer 's Role .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
69,"Developers are urged to review the baseline tags , adopt them where , you can not your proposed tag to a Community of Interest ( COI ) and provide amplifying information for all submit both may , reuse an existing specification ( a.k.a .","[Not Useful Class, Useful Use Case, Not Useful Activity]"
70,Document Type Definition ( DTD ) ) or existing tags you or definition the Community .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
71,"The Registry allows a user to browse , search , and retrieve data that satisfy the your among and Registry .","[Not Useful Class, Useful Use Case, Not Useful Activity]"
72,"To ensure interoperability , this registry provides a baseline set of tags developed through coordination approval to requirements","[Useful Class, Not Useful Use Case, Not Useful Activity]"
73,The user may specify whether to search for the term within the name of the information resource or,"[Useful Class, Useful Use Case, Not Useful Activity]"
74,The . . the Registry has a substring search capability so that the user may easily find information resources that meet criteria XML understand semantics Community of Interest 's POC 's Role The . The information in the following section is,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
75,"( ; strong.8 the "" market forces "" model can also guide COE Data Engineering in identifying the weak candidates from current as of 17 responsibilities will include the transitioning of information resources from one status to another .","[Not Useful Class, Useful Use Case, Useful Activity]"
76,Table 1 lists POC,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
77,A,"Your input ""A"" is incomplete. Please provide a full sentence or statement to determine its usefulness for Class Diagram, Use Case Diagram, or Activity Diagram classification."
78,"The . May , 1999 .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
79,Please consult the Registry for the most authoritative list of information resources types ) . representations of Contact ( POC ) for a COI to manage the tags within that COI .,"[Useful Class, Useful Use Case, Not Useful Activity]"
80,The COE of Chief Point a for its proper use ; COE Chief Engineer 's Role .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
81,The COE Chief Engineer will approve single the Engineer reserve semantics will be analyzed to identify opportunities to consolidate tags towards a single or a minimal number and will,"[Useful Class, Useful Use Case, Not Useful Activity]"
82,"Tags Role ultimate authority to mediate any unresolved disputes within all COIs ; The COE Data Engineering Team 's . ; validity lack attributes ; SRI : A Standing Request spatial For ( SRI ) is a capability in Information by defined are ) , extent , topology and geometry .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
83,Supports queries of spatial data where the selection criteria which CASS monitors for are satisfied .,"[Useful Class, Useful Use Case, Not Useful Activity]"
84,"An SRI may be one of three types : timer - based , data conditions location(s the program the occurrence of conditions established by an application program , and notifies the calling or establishing application when , scale , ;","[Useful Class, Not Useful Use Case, Not Useful Activity]"
85,"Replication Scheme : Information that precisely identifies DBs , or partitions of DBs , to be ) copied management distributed does not yet define interoperability between server databases ( i.e. it is not yet a standard for database - and/or , that organizes and maintains spatial data ( i.e. data with graphical attributes ) in terms of type system distributed information : replication schedules , and master / remote sites that are to receive the copies ; Spatial DBMS","[Useful Class, Not Useful Use Case, Not Useful Activity]"
86,"Geographic based , or text editor .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
87,"Although XML is a relatively new technology , many developers are already using XML a in using by","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
88,Metadata and Related Information An XML tag may be described as any object and is easily created anyone . operational systems,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
89,"So far , the burgeoning sets of XML tags have created redundancy and irrelevancy , and they . COE systems in and have already created tags and specifications , many of which may be inconsistent with tags used other the Package Resource device that causes information to flow among objects or changes the system state .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
90,"Technically , a or process , , message - based ; Subject : An active entity , generally in the form of a person process Submittal / pair log file or a circular file .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
91,"The metadata and procedures are described for the current Information linear domain a may ; Transaction Journalling : Individual messages or database transactions are stored in a journal file , which be valid types of as interfaces to COE components .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
92,Detailed defined information as specified in paragraph 3.4 of the ( are SRS XS XS architecture .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
93,At this time such detailed information is unavailable .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
94,The Internal Interfaces for the Data Item Description DI time such detailed information is unavailable .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
95,The COE components identified to - date are listed below this COE,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
96,At architecture - IPSC-81433 ) defining these interfaces will be specified during the design phase of the COE XS . the of phase concept .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
97,"Example : If the registered tag is ORG_ID , the description that includes references The that External expressing tag easily find the term they might consider "" natural "" in the definition and find the desirable for . Interfaces the the Data Item Description DI - IPSC-81433 ) defining these interfaces will be specified during the design of for 3.3 in XS SRS are defined as interfaces to non - COE components .","[Not Useful Class, Useful Use Case, Not Useful Activity]"
98,Detailed information ( as specified paragraph,"Please provide the detailed information (or the sentence/paragraph) that you'd like me to analyze, and I will classify it as follows:  
[Useful Class, Useful Use Case, Not Useful Activity] or another combination, depending on its relevance."
99,It incorporates other paragraph 3.3 of the Data Item Description DI - IPSC-81433 ) defining these interfaces will be specified in during specified ( Toolkit .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
100,The Interfaces to Commercial Products for the XS SRS are identified below .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
101,Detailed information as ’s the phase identified for the COE are the following Relational Database engines : Sybase ; Oracle ; Informix . environments design or commercial of the COE XS architecture .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
102,At this time such detailed information is unavailable .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
103,The three products would Developer to Services .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
104,It incorporates other interfaces to : Distributed Computing Services ; Data Interchange Services .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
105,It Network incorporates ; : interfaces to : Network Administration ; System Administration ; Security Administration .,"[Useful Class, Useful Use Case, Not Useful Activity]"
106,It incorporates other interfaces to Communications : other to Correlation ; MCG & I ; Alerts ; On - line Help .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
107,It incorporates other interfaces ; interfaces Processing ; : Executive Manager ; Multi - Media Support .,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
108,It incorporates other interfaces to : Office Automation Message,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
109,RDA developers that submission package to e - mail message attach to _ _ _ _ _ _ _ : and,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
110,"Zip . valid values , and add to submission package ; Include amplifying info associated with specific Tag(s ) _ _ _ _ information resources for the Registry","[Useful Class, Useful Use Case, Useful Activity]"
111,"If the term is well recognized outside its container term , designate new provide creating conventions _ _ _ _ _ _ _ _ _","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
112,Establishing a new Information Resource .,"[Not Useful Class, Useful Use Case, Not Useful Activity]"
113,"Follow these for , Tags among submit and use information resources within the Registry constitutes guidance in the generation and use of XML may as Developers . information resources .","[Not Useful Class, Useful Use Case, Not Useful Activity]"
114,"The status levels are developmental , candidate , approved , rejected , and retired","[Useful Class, Not Useful Use Case, Not Useful Activity]"
115,For it an source if any ) ; Fill out one XML submission document to package multiple Tags ; Specify relationships ( authoritative submit modifications for approved XML data and metadata components .,"[Not Useful Class, Useful Use Case, Useful Activity]"
116,"Review Tags in Registry and decide what additions / to as an element wish to limit the proliferation of tags , so we strongly urge folks to use XML_Attributes sparingly","[Useful Class, Useful Use Case, Not Useful Activity]"
117,"We . . separate ctry , then the additional baggage ( other attributes ) must be carried , or submitted as elements element","[Useful Class, Not Useful Use Case, Not Useful Activity]"
118,"Initially the of fields , including definition .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
119,"Therefore , we urge submitters to include enough expressive terms so number , a search Registry will not have keyword , thesaurus , or ontology support but it will have a substring for COE the attributes attributes ) for the entity CTRY .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
120,"In the relational world , they are columns within the - table ER characteristics .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
121,"Example : CTRY_CD , CTRY_NM , CTRY_ABBRD_NM , CTRY_OFF_NM , CTRY_SCP_NT_TX , and CTRY_PSTL_NM are all ( of ctry attributes a submitter would identify them as attributes rather than elements .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
122,"But if they were identified as that , expected would of the entity ctry in er - modeling , and member attributes in object modeling .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
123,"It be . possible be procedures , or principles within an organization , . rules can be divided in to four","[Useful Class, Not Useful Use Case, Not Useful Activity]"
124,Business policies of description human intervention .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
125,"It will include controls qualifying the processing involved ; Business Rule : A narrative categories : definitions , ( relationships ) between entities or associations between an entity and attributes ; Constraints are conditions about links / either Facts facts , constraints , and derivations ; Definitions are business rules that define entities and attributes ; are process manual a ; TBD To Be Determined ; WWMCCS World - Wide Military Command and Control System .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
126,Automatically Software : W S Specification ; SSDD Support Software Design Document ; STACCS Standard Theater Army Command And Control System ; / the Indicates initiated .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
127,"The information / parameters may be data dependent , or application dependent , or dependent on processes processing other to during execution of other processes , but dependent on information and/or parameters to be generated or supplied these Requirements data must access to objects based on the identity restricting of or groups to which they belong . subjects of means A ) by the proponent maintainer of the data items involved ; Discretionary Access Controls ( DAC ):","[Useful Class, Useful Use Case, Not Useful Activity]"
128,"The controls are discretionary subject ; Dynamically Generated Processing : Indicates processing initiated during execution of other processes , but dependent other rollback any on in the sense that a subject with a certain access permission is capable of passing that permission to ( discarded or rules that materialize a new piece of information ( often attribute values ) from other pieces of business information are ; always be TRUE .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
129,They are the integrity rules that protect the data in the eventual database Derivations that . example from the current date ; Commit / Rollback : An individual transaction is processed ( commit ) date,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
130,"For birth or , a mathematical derivation might specify that you can obtain a person 's age by subtracting his her Software SRS ; Distributing Computing Environment ; DDL Data Definition DCE Language DDS Data Distribution System ; DES Data ; ; Group Working DBIF Database Interface ; DBMS Database Management System ; DBs Databases ; DATATWG Data Access Services Technical Encryption Standard ; DID Department of Defense ; DTG Date - Time - Group ; FIPS PUB Federal Information Processing Standards DoD ; ; Manipulation Data Item Description ; DII Defense Information Infrastructure ; DISA Defense Information Systems Agency ; DML Data Language Service Access Data Software Requirements Specification Document ; ATCCS Army Tactical Command and Control Systems ; AWIS Army WWMCCS Information AWIS System ASRD Format ; ASCII American Standard Code Information Interchange ; ASCII RTF American Standard Code Information Interchange Rich Text ; Publication ; Common - The - Shelf ; X - DA Data Access ; DAC Discretionary Access Control ; XS Off CASS Commercial ; ACCS Support Software ; CLI Client Library Interface ; CM Configuration Manager ; COE Common Operating Environment","Not Useful Class, Not Useful Use Case, Not Useful Activity"
131,"COTS ; FMWG File Portable Operating System Interface for Computing Environments ; RAID Redundant Array of Inexpensive Disks ; RDA Remote POSIX Database ; Project ; MIL - STD Military Standard ; MSB Most Significant Bit ; OS Operating System ; PM Manager Imagery Access RDBMS Group ; SMM Systems Management Manual ; SQL Structured Query Language ; SRI Standing Request for Information Working ; Technical Security Relational Database Management System ; RISC Reduced Instruction Set Computer ; RTF Rich Text Format ; SECTWG Services upon and , User Interface ; HP Hewlett - Packard ; IAW in accordance with ; ID Identification ; I Graphical / GUI Shelf Management Working Group ; GCCS Global Command and Control Systems ; GOTS Government Off - The - ; Geodesy F ; Planning and Execution System ; MAC Mandatory Access Control ; Mbs Megabytes ; MCG&I Mapping , Charting coordinated Interface Joint ; IF Intell Fusion ; I / O Input / Output ; JMCIS Joint Maritime Command Information System JOBES information Operation parameters parity over RAID 3 or RAID 4 which implementations , and RAID 6 ( in which ) in ( 5 disk .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
132,RAID 4 intended to overcome performance penalties of RAID 3 for small transfers .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
133,"RAID two parity disks in the data is stored as are check sums and other information about the contents of each disk , parity implementation RAID addition to data disks are used in an attempt to further improve performance ) .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
134,"In a 5 single a has ) , RAID 1 ( known as disk shadowing ) , RAID 3 ( in which data striping is disk known cost .","[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
135,"There are several types / levels of RAID implementations , including : RAID 0 ( as in distributed small RAID 4 ( in which data is distributed in large chunks across all data disks and also , in fails any increments across all data disks and adds a parity value to a separate disk for recovery if disk the array . read and update data in remote databases via well defined standards .","[Useful Class, Not Useful Use Case, Not Useful Activity]"
136,RDA defines a set of to client able application interoperability between applications ( clients ) and databases ( servers ) of different manufacturers so that an is allow and standards two phase commit TP services in the case where updates to multiple remote databases need and/or to ) server processing ( and a mapping of SQL commands to these services .,"[Useful Class, Useful Use Case, Not Useful Activity]"
137,RDA also defines an interface to ISO transaction lower to RDA data .,"[Not Useful Class, Not Useful Use Case, Not Useful Activity]"
138,Storage system vendors may provide additional enhancements to RAID level implementations to improve performance and lost reliability the to,"[Useful Class, Not Useful Use Case, Not Useful Activity]"
139,"If one disk is lost , the others can use the check sums and other stored information recreate is ; Data by an application to a ( remote ) DBMSs over an OSI network .","[Useful Class, Useful Use Case, Not Useful Activity]"
